10 
20 -400.411036
30 -403.711886
40 -403.782567
50 -403.784172
60 -403.785292
70 -403.785584
80 -403.786420
90 -403.786853
100 -403.786920
110 -403.787093
120 -403.787337
130 -403.787451
140 -403.787529
150 -403.787778
160 -403.788237
170 -403.788732
180 -403.789060
190 -403.789187
200 -403.789225
210 -403.789306
220 -403.789485
230 -403.789729
240 -403.789952
250 -403.790093
260 -403.790149
270 -403.790164
280 -403.790188
290 -403.790248
300 -403.790341
310 -403.790442
320 -403.790525
330 -403.790574
340 -403.790594
350 -403.790599
360 -403.790607
370 -403.790630
380 -403.790666
390 -403.790710
400 -403.790750
410 -403.790779
420 -403.790795
430 -403.790801
440 -403.790802
450 -403.790806
460 -403.790815
470 -403.790831
480 -403.790850
490 -403.790869
500 -403.790885
510 -403.790895
520 -403.790899
530 -403.790901
540 -403.790901
550 -403.790903
560 -403.790908
570 -403.790915
580 -403.790924
590 -403.790934
600 -403.790941
