3	 -1663.76350841
4	 -1663.77759785
5	 -1663.78120736
6	 -1663.78192118
7	 -1663.78323987
8	 -1663.78283395
9	 -1663.78321516
10	 -1663.78332318
11	 -1663.78332626
12	 -1663.78339031
13	 -1663.78338271
14	 -1663.78338734
15	 -1663.78338821
16	 -1663.78338709
17	 -1663.78338793
18	 -1663.78338756
19	 -1663.78338739
20	 -1663.78338723
21	 -1663.78338704
22	 -1663.78338696
23	 -1663.78338692
24	 -1663.78338693
25	 -1663.78338694
26	 -1663.78338691
27	 -1663.78338693
28	 -1663.78338696
29	 -1663.78338695
30	 -1663.78338692
